"a","b","c","b2","a0","b0","b1","a1","c1","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
0.00177628465296204,1.9825268853665,1.02256288607525,-0.0097851501908264,NA,NA,NA,NA,NA,"1_111 230",NA,NA
NA,NA,1.19515728485522,NA,0.00114150397695603,1.90269920953002,2.03789304053088,NA,NA,"1_131 230",NA,NA
0.00210526615964245,1.64609129917556,1.24441341271582,NA,NA,NA,NA,NA,NA,"10 M240",NA,NA
0.00228091534343817,1.829853623156,1.10918291328814,NA,NA,NA,NA,NA,NA,"100 130",NA,NA
0.00130301699121312,2.0126053894887,1.10661262238229,NA,NA,NA,NA,NA,NA,"100 M210",NA,NA
NA,NA,1.1213203386816,NA,0.00205547640201017,1.86309730454602,1.73059686195062,NA,NA,"105 130",NA,NA
NA,NA,1.10289585221744,NA,0.00207001054926972,1.87376863220319,1.8059920949016,NA,NA,"105 210",NA,NA
NA,NA,1.09370775108993,NA,0.00209201852611101,1.8988337983158,1.75663111415547,NA,NA,"105 220",NA,NA
NA,NA,1.25978458754419,NA,0.00113230570577713,1.8908919068909,1.72245579262554,NA,NA,"107 230",NA,NA
NA,NA,1.04319568460901,NA,0.00287814923181387,1.87779194713505,1.79091444978228,NA,NA,"108 130",NA,NA
NA,NA,1.28852277187798,NA,0.00148065321494533,1.74002761017981,1.73708860238052,NA,NA,"108 330",NA,NA
NA,NA,0.981203546876831,NA,0.00308515884709953,1.97758194256457,1.79636413497844,NA,NA,"108 M130",NA,NA
NA,NA,0.960877106369258,NA,0.00292399303152562,2.01682183590341,1.82581572562749,NA,NA,"108 M210",NA,NA
NA,NA,1.00509740543275,NA,0.0028880103891255,1.95507682741321,1.69249148787115,NA,NA,"108 M240",NA,NA
NA,NA,1.11530070558803,NA,0.00238668573633871,1.80028242141441,1.77985980590487,NA,NA,"108 M330",NA,NA
0.00131413592741574,2.03738585260946,1.15670249200423,0.0140906710094716,NA,NA,NA,NA,NA,"11 240",NA,NA
0.00102561117802833,2.022202419976,1.21244131302288,0.0134209606944635,NA,NA,NA,NA,NA,"11 M210",NA,NA
0.00210622525044088,1.82507799900004,1.14481909438777,0.00328311726109904,NA,NA,NA,NA,NA,"11 M240",NA,NA
NA,NA,1.32921315763166,NA,0.000777044665014202,1.91901756772957,2.00692900717773,NA,NA,"110 220",NA,NA
NA,NA,1.15627232430969,NA,0.00110231984247842,2.04143264663071,1.98662193734056,NA,NA,"110 230",NA,NA
NA,NA,1.18227038069096,NA,0.00204127671239509,1.76255666621516,1.92688027802135,NA,NA,"110 250",NA,NA
NA,NA,1.0197753572166,NA,0.00138308862368129,2.21177279562601,2.04987278341704,NA,NA,"110 M220",NA,NA
NA,NA,1.18294870050263,NA,0.00156091391645266,1.85340081296026,1.97853559242347,NA,NA,"110 M230",NA,NA
NA,NA,1.06895733702084,NA,0.0012060010229117,2.1414226363635,1.948751731577,NA,NA,"111 230",NA,NA
0.00150783079178686,1.95515149448323,1.12510857471687,NA,NA,NA,NA,NA,NA,"115 230",NA,NA
0.00471765034984979,2.26891362731698,0.604401166215626,NA,NA,NA,NA,NA,NA,"117 M260",NA,NA
0.00237788335715532,1.81067184927281,1.10617160766674,NA,NA,NA,NA,NA,NA,"119 M240",NA,NA
0.00260372416018242,1.75306663205002,1.10806525407911,NA,NA,NA,NA,NA,NA,"119 M330",NA,NA
NA,NA,0.872349275440531,NA,0.00411636401924038,1.99778696684992,1.88324411071351,NA,NA,"12 130",NA,NA
NA,NA,1.08802843300916,NA,0.00228700393099633,1.87315108175186,1.58935397443044,NA,NA,"12 210",NA,NA
NA,NA,0.930889597269074,NA,0.00347365285428937,1.97933614403721,1.53215132315828,NA,NA,"12 220",NA,NA
NA,NA,0.882612889565232,NA,0.00344104102897507,2.08550874535873,1.79477789715616,NA,NA,"12 M210",NA,NA
0.00151395194054981,2.09055176904155,1.06310777469041,0.00779029029669013,NA,NA,NA,NA,NA,"121 230",NA,NA
NA,NA,1.04987335771193,NA,0.001738510903057,1.9676308281293,2.03017813257046,NA,NA,"122 310",NA,NA
NA,NA,1.15081819840762,NA,0.00323397920541767,1.62466813710453,1.9262007425833,NA,NA,"122 330",NA,NA
NA,NA,0.909497538151059,NA,0.00338982060793173,1.8690919819417,2.20854849263999,NA,NA,"122 M210",NA,NA
NA,NA,1.67376662106597,NA,0.00265840014175437,0.557008667948276,1.83187713237045,NA,NA,"122 M240",NA,NA
NA,NA,1.10053345307427,NA,0.00149567211213372,1.98523264002437,1.8174336631589,NA,NA,"122 M260",NA,NA
NA,NA,1.19434618299514,NA,0.00200567310524251,1.64934704365764,2.00827341781457,NA,NA,"122 M310",NA,NA
NA,NA,0.876784942846133,NA,0.0030934901755067,2.03894150153097,2.12400685715491,NA,NA,"122 M330",NA,NA
NA,NA,0.91925858541123,NA,0.00531394822785261,1.65714377749458,2.272248248604,NA,NA,"122 M340",NA,NA
NA,NA,1.09348685710361,NA,0.00191627906762023,1.95623573876975,1.7784921513755,NA,NA,"123 M220",NA,NA
0.00149648457434584,2.06161904777764,1.13597398475032,0.0171289796905671,NA,NA,NA,NA,NA,"125 130",NA,NA
0.0017898528971877,1.87538066304679,1.16064450363194,0.00315753783789583,NA,NA,NA,NA,NA,"125 210",NA,NA
0.00190383301570566,1.77072999093116,1.19321351619943,-0.000579149565077618,NA,NA,NA,NA,NA,"125 220",NA,NA
0.00286473645659417,2.06416093860231,0.897989341241532,NA,NA,NA,NA,NA,NA,"126 M220",NA,NA
0.00100666307609216,2.17643162857435,1.14359180321429,0.020582947978999,NA,NA,NA,NA,NA,"128 230",NA,NA
0.00308155133389464,1.97744606530823,0.985991633329861,0.00924603552324396,NA,NA,NA,NA,NA,"129 130",NA,NA
0.00317718687458773,1.9262314288721,0.988747729478342,0.00364290324657605,NA,NA,NA,NA,NA,"129 210",NA,NA
0.00335791173073394,1.38855210146324,1.20002400926032,-0.0268689304173195,NA,NA,NA,NA,NA,"129 220",NA,NA
0.00187198423289015,1.45558884596639,1.27889948098096,-0.0222802669223789,NA,NA,NA,NA,NA,"129 230",NA,NA
0.000235937112486035,2.29282002351679,1.45296672682957,0.0313866740316873,NA,NA,NA,NA,NA,"129 M210",NA,NA
0.00288853296173126,1.67408626346019,1.08975893366335,-0.00861613937812223,NA,NA,NA,NA,NA,"129 M220",NA,NA
0.00178627002920515,1.79180546573782,1.18362785382045,NA,NA,NA,NA,NA,NA,"131 220",NA,NA
0.00126517974669558,1.92419768333081,1.17950315217057,NA,NA,NA,NA,NA,NA,"131 230",NA,NA
0.00514733033124883,2.12269380262727,0.725850622077891,NA,NA,NA,NA,NA,NA,"131 M230",NA,NA
0.00131512870980373,1.92097133837448,1.20588893783977,NA,NA,NA,NA,NA,NA,"132 220",NA,NA
0.00223356515774379,1.85408687274339,1.09898474648075,NA,NA,NA,NA,NA,NA,"132 230",NA,NA
0.00200640298930065,1.88881041776193,1.10589912217219,NA,NA,NA,NA,NA,NA,"132 M220",NA,NA
0.00178004815691523,1.68391772662339,1.25328757236273,NA,NA,NA,NA,NA,NA,"15 M260",NA,NA
0.00590646864686797,1.89261937938355,0.80310647488426,NA,NA,NA,NA,NA,NA,"15 M310",NA,NA
0.0023248510702001,1.70998121374206,1.17161272388553,NA,NA,NA,NA,NA,NA,"15 M330",NA,NA
NA,NA,1.23334168180532,NA,0.00163435200800718,1.7325717072396,1.68330914315446,NA,NA,"19 M130",NA,NA
NA,NA,1.19954317893945,NA,0.00210071185522795,1.67575103639865,1.74697909249668,NA,NA,"19 M210",NA,NA
NA,NA,1.45072160729943,NA,0.00111276122036422,1.50655977493778,1.54058603953559,NA,NA,"19 M240",NA,NA
NA,NA,1.09148642021245,NA,0.00213027479275049,1.87086212407751,1.74559135390304,NA,NA,"19 M330",NA,NA
0.00208805081051849,1.7486679907399,1.17182297344364,NA,NA,NA,NA,NA,NA,"20 M260",NA,NA
NA,NA,1.02989807772008,NA,0.00274723472692336,1.84090392638568,1.79172923344467,NA,NA,"202 130",NA,NA
NA,NA,0.985349005573142,NA,0.00192994780816706,2.16242444050881,1.69042679048668,NA,NA,"202 240",NA,NA
NA,NA,1.10083897522922,NA,0.00197639955184651,1.8881853773821,1.71832994991761,NA,NA,"202 260",NA,NA
NA,NA,1.1255249909542,NA,0.00136931588039169,2.0024114274338,1.71769157848286,NA,NA,"202 340",NA,NA
NA,NA,1.10288461377177,NA,0.00172735114300005,1.89358391677569,1.75442178770175,NA,NA,"202 M210",NA,NA
NA,NA,1.16375141474187,NA,0.00179362365927889,1.76678127540079,1.7077452991046,NA,NA,"202 M240",NA,NA
NA,NA,1.15049826304484,NA,0.00128305483061778,1.99864188899812,1.70865142184977,NA,NA,"202 M260",NA,NA
NA,NA,0.982914772078916,NA,0.00412510954461649,1.68856594417076,1.92848739328216,NA,NA,"202 M310",NA,NA
NA,NA,1.04173944582758,NA,0.00240709975918919,1.86830081694054,1.80968551749481,NA,NA,"202 M330",NA,NA
0.00139036366816692,1.88506977233013,1.10545258007826,NA,NA,NA,NA,NA,NA,"211 260",NA,NA
0.00122729003620246,1.86328278153667,1.21982604496178,NA,NA,NA,NA,NA,NA,"221 230",NA,NA
0.0074970386507186,1.89423148687887,0.771194468265691,NA,NA,NA,NA,NA,NA,"222 230",NA,NA
NA,NA,1.09799416502246,NA,0.0021274688895933,1.91293131486205,1.57638419007516,NA,NA,"241 210",NA,NA
NA,NA,1.09696429851954,NA,0.0027873858202462,1.80702988824392,1.51309889204069,NA,NA,"242 240",NA,NA
NA,NA,1.49544181591893,NA,0.00141206882139478,1.29058989542886,1.43986599262519,NA,NA,"242 340",NA,NA
NA,NA,0.99636708662293,NA,0.00124313574557348,2.3323752438855,1.6163441749318,NA,NA,"242 M210",NA,NA
NA,NA,0.900560217164007,NA,0.00499498720871812,1.84860255327246,1.80803722766255,NA,NA,"242 M240",NA,NA
NA,NA,1.07842456856374,NA,0.00250567111587289,1.83265797532911,1.64197921987678,NA,NA,"242 M330",NA,NA
0.00229555294465827,1.96753553185335,0.996321112643364,NA,NA,NA,NA,NA,NA,"260 M210",NA,NA
0.00160795977890766,1.64448399971117,1.28281088723315,NA,NA,NA,NA,NA,NA,"260 M240",NA,NA
0.00227883472479317,1.94798795524593,1.01273756730216,NA,NA,NA,NA,NA,NA,"260 M330",NA,NA
0.00408911032025892,2.0532601016065,0.824543394867713,0.00184157251208212,NA,NA,NA,NA,NA,"261 210",NA,NA
0.008141988691901,1.74758691855907,0.7573848559123,-0.0200377684986972,NA,NA,NA,NA,NA,"261 M220",NA,NA
0.00203524870925903,1.64001877217822,1.22597160902768,-0.0027490653163692,NA,NA,NA,NA,NA,"263 240",NA,NA
0.00148064937792783,1.91117243170033,1.18040619981334,0.0098604761967966,NA,NA,NA,NA,NA,"263 340",NA,NA
0.00126036753658947,2.08785242616417,1.104263083313,0.0109203758136996,NA,NA,NA,NA,NA,"263 M210",NA,NA
0.00274829535708077,1.90967206387798,1.01688093697945,0.00331164714717118,NA,NA,NA,NA,NA,"263 M240",NA,NA
0.00154703495178898,1.99125863389541,1.10390164281801,0.0080352159155239,NA,NA,NA,NA,NA,"263 M330",NA,NA
0.00396571870365639,1.72815018071822,1.03751099593285,NA,NA,NA,NA,NA,NA,"264 M240",NA,NA
NA,NA,1.18541620714927,NA,0.00131519077247245,1.86294034651196,1.91634110011234,NA,NA,"312 M240",NA,NA
0.00213462679266717,1.84177075531444,1.10141988049784,NA,NA,NA,NA,NA,NA,"316 210",NA,NA
0.00222386311978906,1.7964393497369,1.11882596416195,NA,NA,NA,NA,NA,NA,"316 220",NA,NA
0.00303200616887203,1.78864020936358,1.03255610713819,NA,NA,NA,NA,NA,NA,"316 230",NA,NA
0.0032409138252267,1.95157776901463,0.926042881067392,NA,NA,NA,NA,NA,NA,"316 M220",NA,NA
NA,NA,1.01621180843175,NA,0.00165512162684191,2.13942640298241,1.87280949412991,NA,NA,"318 210",NA,NA
NA,NA,1.0589010110566,NA,0.00146198301553155,2.10718681850554,1.89066961910698,NA,NA,"318 220",NA,NA
NA,NA,0.896031504480629,NA,0.0028061166586636,2.13181468658539,1.92185135050399,NA,NA,"318 M210",NA,NA
NA,NA,1.21560749828449,NA,0.00157515905846828,1.7542754426993,1.91744042225764,NA,NA,"318 M220",NA,NA
0.00272723025397271,1.95742512913321,0.961348018678097,NA,NA,NA,NA,NA,NA,"330 M220",NA,NA
NA,NA,1.02106722353011,NA,0.00240497899955154,1.96751728019027,1.76075727086656,NA,NA,"351 M240",NA,NA
NA,NA,0.838521456702836,NA,0.00301287600096064,2.12124009117141,1.86935032573314,NA,NA,"370 230",NA,NA
NA,NA,1.02931310481318,NA,0.00286247250676805,1.82838774450334,1.75017875202034,NA,NA,"370 M220",NA,NA
0.00817538099723846,1.86869184176891,0.730288942496055,-0.00274389551596224,NA,NA,NA,NA,NA,"371 130",NA,NA
0.00641669651895724,2.46891313583858,0.542518651649274,0.0218239320007563,NA,NA,NA,NA,NA,"371 210",NA,NA
0.00400301268316479,1.96371279069645,0.917388836046358,0.00222759499275553,NA,NA,NA,NA,NA,"371 220",NA,NA
0.00413030719063193,2.16361053013372,0.8176956772911,0.012163811334686,NA,NA,NA,NA,NA,"371 M210",NA,NA
NA,NA,0.886162858737504,NA,0.00413735744884038,1.94134138789327,1.84153588893837,NA,NA,"375 130",NA,NA
NA,NA,1.11919847811058,NA,0.00152978984725323,1.97269764697795,1.66146361907134,NA,NA,"375 210",NA,NA
NA,NA,0.672613910048716,NA,0.00859854851088749,2.04428732607361,1.97906614659564,NA,NA,"375 220",NA,NA
NA,NA,1.30315046543448,NA,0.00078494888702581,1.88536403633676,1.92601359585374,NA,NA,"375 M130",NA,NA
NA,NA,0.730065727170549,NA,0.00603841667703175,2.09088544370829,1.817143908098,NA,NA,"375 M210",NA,NA
NA,NA,1.1249742748433,NA,0.00185487366981518,1.84094345197334,1.83099631769064,NA,NA,"375 M330",NA,NA
0.00159989717746101,1.90931509803699,1.11303714089356,NA,NA,NA,NA,NA,NA,"400 220",NA,NA
0.00169063652135485,1.96098553189413,1.05986850630061,NA,NA,NA,NA,NA,NA,"400 230",NA,NA
0.00178192860293228,1.96334134042849,1.04486887371946,NA,NA,NA,NA,NA,NA,"400 M220",NA,NA
0.00154789137838522,2.07454757014256,1.00983268338703,NA,NA,NA,NA,NA,NA,"400 M230",NA,NA
0.00357959134195292,1.98880683771507,0.917140667237874,NA,NA,NA,NA,NA,NA,"403 220",NA,NA
0.00289036093732681,1.95374022277554,0.947535656476849,NA,NA,NA,NA,NA,NA,"404 230",NA,NA
0.00478310194305366,1.90239702545627,0.892810962982432,NA,NA,NA,NA,NA,NA,"42 M240",NA,NA
0.00631743683647882,2.01610988280723,0.710510600902952,NA,NA,NA,NA,NA,NA,"421 220",NA,NA
NA,NA,1.26628274636158,NA,0.00131492103597086,1.80477481214213,1.4676903143245,NA,NA,"43 230",NA,NA
0.00154473877494476,1.81165753018536,1.17320299322784,NA,NA,NA,NA,NA,NA,"460 230",NA,NA
0.00217405633475559,1.87206850918867,1.0573636639304,NA,NA,NA,NA,NA,NA,"461 230",NA,NA
0.0055431190524225,1.87949645282266,0.800973986827361,NA,NA,NA,NA,NA,NA,"491 230",NA,NA
NA,NA,0.952788415639082,NA,0.00257473923009792,2.00042443936247,2.05903849485617,NA,NA,"521 230",NA,NA
0.00288234644069896,2.37295178576253,0.841544720329162,0.0296758111967939,NA,NA,NA,NA,NA,"531 210",NA,NA
0.00210383143698196,2.54108279588119,0.84280223197287,0.034710752094368,NA,NA,NA,NA,NA,"531 220",NA,NA
0.00311015990509198,1.9950896192252,0.941905024324243,0.00753346221540409,NA,NA,NA,NA,NA,"531 230",NA,NA
0.00263189814472383,2.21241102647526,0.926550403561984,0.0175545550804683,NA,NA,NA,NA,NA,"531 M210",NA,NA
0.00240677283425146,1.89758069878103,1.04852449504245,0.00377834850744267,NA,NA,NA,NA,NA,"531 M220",NA,NA
0.0040608617088943,1.92297406439972,0.88494728182001,NA,NA,NA,NA,NA,NA,"540 230",NA,NA
0.00206346815007421,1.967024331947,1.01414281687222,NA,NA,NA,NA,NA,NA,"540 M220",NA,NA
0.00322971610229636,1.82384173206906,1.02143039832069,NA,NA,NA,NA,NA,NA,"541 210",NA,NA
0.00542559339982719,1.90798863964672,0.852367752519591,NA,NA,NA,NA,NA,NA,"541 220",NA,NA
0.00811816067024071,1.92937066599922,0.738919824328131,NA,NA,NA,NA,NA,NA,"541 M210",NA,NA
0.00141638257427815,1.99043517797552,1.07482284923854,NA,NA,NA,NA,NA,NA,"541 M220",NA,NA
0.00433981842371135,1.95702875508213,0.871261529500788,NA,NA,NA,NA,NA,NA,"543 210",NA,NA
0.00650162181102349,1.75617437165572,0.84461704179503,NA,NA,NA,NA,NA,NA,"544 230",NA,NA
0.00148116805859011,2.22024825611085,0.966119306893178,NA,NA,NA,NA,NA,NA,"555 230",NA,NA
0.00345408393925398,1.91260954130827,0.955459265193466,NA,NA,NA,NA,NA,NA,"591 230",NA,NA
0.00142107839295287,1.83375913848436,1.16695465959812,NA,NA,NA,NA,NA,NA,"602 M220",NA,NA
0.00195581373268076,1.91706352549689,1.05797289438409,NA,NA,NA,NA,NA,NA,"611 230",NA,NA
0.00142383222082301,1.72742631632657,1.27078922619842,NA,NA,NA,NA,NA,NA,"621 220",NA,NA
0.00143324573753627,1.85681971432341,1.15818012847091,NA,NA,NA,NA,NA,NA,"621 230",NA,NA
0.0019673318854028,1.91609839374791,1.05483110765757,NA,NA,NA,NA,NA,NA,"621 M220",NA,NA
0.00373608976082263,1.81554110053248,0.96741490748531,NA,NA,NA,NA,NA,NA,"653 230",NA,NA
NA,NA,1.00948803305575,NA,0.00356343929296807,1.84780681142739,1.55072558776665,NA,NA,"68 220",NA,NA
NA,NA,1.07317123529451,NA,0.00234355973124644,1.90152246883278,1.8810854945453,NA,NA,"68 230",NA,NA
NA,NA,0.975870260285867,NA,0.00431644988815631,1.81773275862574,1.54255483078304,NA,NA,"68 250",NA,NA
0.00590544622907789,1.6333206802781,0.957794218229463,NA,NA,NA,NA,NA,NA,"691 230",NA,NA
0.00187901532117172,1.77814626758516,1.18760354777929,NA,NA,NA,NA,NA,NA,"693 220",NA,NA
0.00402882263356935,1.90470574739789,0.893713678022315,NA,NA,NA,NA,NA,NA,"693 230",NA,NA
0.00597166503248045,2.04253297267677,0.712912167054338,NA,NA,NA,NA,NA,NA,"693 M220",NA,NA
0.00256611735313055,1.8073350951326,1.07187034433459,NA,NA,NA,NA,NA,NA,"694 230",NA,NA
NA,NA,0.996152236046065,NA,0.00292890030381973,1.88416722567854,1.83074751182332,NA,NA,"71 130",NA,NA
NA,NA,1.13833754908888,NA,0.00236317108195685,1.74095297134409,1.66171263745474,NA,NA,"71 210",NA,NA
NA,NA,1.27766852184135,NA,0.00131403016308838,1.7144038617217,1.55986084987802,NA,NA,"71 M130",NA,NA
NA,NA,1.24780496482385,NA,0.00107755929237673,1.81085228845952,1.63245310783222,NA,NA,"71 M210",NA,NA
NA,NA,0.935116617102992,NA,0.00246680918015093,2.05723801311722,1.74749757758915,NA,NA,"71 M330",NA,NA
0.00234755146950634,1.7584077521445,1.11526292953507,NA,NA,NA,NA,NA,NA,"731 230",NA,NA
NA,NA,0.548591633519528,NA,0.00806721511297056,2.2108287634053,2.10023830741622,NA,NA,"740 130",NA,NA
NA,NA,1.8838476496836,NA,0.000268264691104658,1.16783133378315,1.74600279342964,NA,NA,"740 230",NA,NA
NA,NA,0.965799117111869,NA,0.00319193875453007,1.93906994594754,2.01890304306238,NA,NA,"740 M330",NA,NA
NA,NA,1.13388153924158,NA,0.00142383804925866,1.90219244924326,1.88661892083105,NA,NA,"741 130",NA,NA
NA,NA,1.091663273035,NA,0.001525720847178,2.01678605393148,2.01195970674315,NA,NA,"741 210",NA,NA
0.00713452450952718,1.93836458966879,0.754973524208616,NA,NA,NA,NA,NA,NA,"742 250",NA,NA
0.00339188366034579,2.00579961359178,0.899210101652636,NA,NA,NA,NA,NA,NA,"743 130",NA,NA
0.00173741820251775,1.94319088719496,1.09942701976796,NA,NA,NA,NA,NA,NA,"743 210",NA,NA
0.00147304483896167,1.91298056594603,1.15619461486427,NA,NA,NA,NA,NA,NA,"743 220",NA,NA
NA,NA,0.870797943437299,NA,0.0037023227559297,2.03860184087326,1.81490086064156,NA,NA,"746 130",NA,NA
NA,NA,1.02995160738472,NA,0.00217005753398646,1.97879436242997,1.90055931976862,NA,NA,"746 210",NA,NA
NA,NA,1.02615355116523,NA,0.00220493871619839,1.99235202475186,1.86032607231948,NA,NA,"746 220",NA,NA
NA,NA,1.0705441426624,NA,0.00265563563436585,1.73669054947111,1.84279863619915,NA,NA,"746 M130",NA,NA
NA,NA,1.42300866625325,NA,0.00043711513597108,1.88489124487117,1.6297415467682,NA,NA,"746 M210",NA,NA
NA,NA,1.22665994477862,NA,0.00167632067359345,1.67918629718092,1.73181573576465,NA,NA,"746 M240",NA,NA
NA,NA,0.949828690361432,NA,0.00298625124203437,1.9491864159774,1.76714000799431,NA,NA,"746 M330",NA,NA
0.00104611163731251,1.83904095147091,1.26430449231782,NA,NA,NA,NA,NA,NA,"747 130",NA,NA
