CARTgrp,Province,hwd_yn,CRmn,Nobs
5,132,N,43.9,"5,367"
5,132,Y,41.6,"1,562"
3,133,N,49.6,"4,285"
3,133,Y,41.5,"1,411"
5,211,N,42.6,"52,714"
5,211,Y,39.2,"83,502"
5,212,N,48.0,"156,144"
5,212,Y,38.6,"228,860"
5,221,N,42.2,"21,434"
5,221,Y,38.5,"122,979"
5,222,N,44.5,"13,614"
5,222,Y,38.8,"81,313"
5,223,N,42.8,"22,202"
5,223,Y,38.5,"125,995"
6,231,N,34.8,"174,639"
6,231,Y,37.4,"234,992"
6,232,N,33.1,"216,742"
6,232,Y,35.8,"211,115"
5,234,N,40.6,"6,069"
5,234,Y,38.9,"25,984"
5,242,N,48.2,"10,902"
5,242,Y,35.6,"4,083"
5,251,N,62.1,"2,142"
5,251,Y,38.5,"34,100"
5,255,N,43.1,"3,679"
5,255,Y,36.6,"20,560"
5,261,N,38.9,"1,499"
5,261,Y,40.2,"2,480"
5,262,N,28.8,11
5,262,Y,40.0,206
5,263,N,40.3,"10,068"
5,263,Y,38.1,"8,704"
4,313,N,65.7,"44,620"
4,313,Y,46.9,"9,077"
4,315,N,74.2,"2,335"
4,315,Y,43.6,748
4,321,N,63.1,"1,412"
4,321,Y,63.8,"4,460"
4,322,N,64.8,"4,646"
4,322,Y,56.5,641
4,331,N,56.3,"16,593"
4,331,Y,41.2,"3,095"
3,332,N,56.4,"2,083"
3,332,Y,38.9,"5,611"
4,341,N,68.5,"30,965"
4,341,Y,39.9,"6,351"
4,342,N,65.6,"11,752"
4,342,Y,40.2,"1,908"
6,411,N,29.5,"2,295"
6,411,Y,28.1,"1,685"
6,Islan,Y,28.7,"15,796"
5,M132,N,45.9,"7,650"
5,M132,Y,42.4,"2,336"
5,M133,N,55.8,"1,529"
5,M133,Y,44.9,331
5,M134,N,58.7,202
5,M134,Y,52.4,18
5,M211,N,41.2,"65,999"
5,M211,Y,39.0,"80,199"
5,M221,N,42.2,"22,131"
5,M221,Y,37.6,"141,153"
5,M223,N,44.3,"2,347"
5,M223,Y,40.3,"11,917"
5,M231,N,36.4,"13,990"
5,M231,Y,41.4,"15,235"
3,M241,N,42.7,"47,844"
3,M241,Y,44.0,"1,879"
3,M242,N,50.4,"265,277"
3,M242,Y,37.8,"20,220"
3,M261,N,48.6,"103,581"
3,M261,Y,40.7,"41,928"
3,M262,N,61.7,"1,372"
3,M262,Y,41.1,"2,735"
4,M313,N,56.7,"35,229"
4,M313,Y,53.3,"7,155"
3,M331,N,56.1,"127,949"
3,M331,Y,37.2,"34,084"
3,M332,N,53.6,"135,411"
3,M332,Y,43.5,"1,596"
3,M333,N,48.8,"103,777"
3,M333,Y,38.9,"1,994"
3,M334,N,49.8,"8,682"
3,M334,Y,47.9,"1,310"
4,M341,N,66.6,"37,068"
4,M341,Y,40.9,"11,353"
0,UNDEFINED,N,46.8,"1,806,092"
0,UNDEFINED,Y,38.0,"1,614,286"